index,Num_el,Li,Be,B,C,N,Na,Mg,Al,Si,P,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,La,Ce,Pr,Nd,Sm,Gd,Tb,Dy,Ho,Er,Tm,Yb,Hf,Ta,W,Re,Ir,VEC,Pauling_EN,Melting_point_K,DFT_LDA_Etot,outer_shell_electrons,no_of_valence_electrons,Atomic_radius_calculated,Atomic_weight,Pauling_EN_div,entropy,Atomic_radius_calculated_dif,Enthalpy,Geo,E_per_el,Phase
Mn6.6722Fe23.28Co26.631Ni32.068Cu11.348,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0667225337802702,0.2328018624148993,0.266312130497044,0.3206825654605236,0.1134809078472627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.18139745117961,1.8582315658525268,1700.491916735334,-1406.418055375907,1.886519092152737,9.18139745117961,1.5177529620236965,58.394540542324336,0.0877965291542277,12.337743234797111,2.758258701095196,0.91717466617596,16216.821410516151,-281.2836110751814,FCC
Mn5.7404Fe23.162Co27.48Ni32.385Cu11.233,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0574037703849184,0.2316190735237058,0.2747989008043967,0.3238487046051815,0.1123295506817972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.202081191675232,1.8614378542485823,1703.124996100015,-1408.8180380206354,1.8876704493182024,9.202081191675232,1.5168525725897093,58.42934800460797,0.0825963720646821,12.209130738398816,2.6921167927367544,1.0139210561353278,16846.005966429155,-281.76360760412706,FCC
Mn4.8502Fe23.206Co27.811Ni33.095Cu11.038,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048501902996194,0.2320595358809282,0.2781094437811124,0.3309493381013238,0.1103797792404415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.22264555470889,1.8645274709450583,1705.882062535875,-1411.216274548925,1.8896202207595585,9.22264555470889,1.5159924880150242,58.45285325029351,0.0772309085575146,12.06265136308731,2.627642118085964,1.082865437893917,17470.701637885744,-282.243254909785,FCC
Mn13.404Fe22.977Co23.599Ni28.583Cu11.436,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1340413404134041,0.2297722977229772,0.2359923599235992,0.2858328583285833,0.1143611436114361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.016700167001671,1.835139951399514,1684.5747442474426,-1387.0382918467485,1.885638856388564,9.016700167001671,1.5246743467434674,58.147375603756046,0.1160263021251193,12.919902879590955,3.1105069072702105,0.1814085509528781,13353.555287472203,-277.4076583693497,FCC
Mn24.434Fe20.707Co20.653Ni26.538Cu7.6682,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2443395113209773,0.2070695858608282,0.2065295869408261,0.2653794692410615,0.0766818466363067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.72299455401089,1.798509502980994,1672.3647075705849,-1351.9137716598384,1.9233181533636927,8.72299455401089,1.5369442261115478,57.607889196221606,0.1440661650217473,12.84623847335987,3.341751213276492,-1.8637633263792397,11503.440514543976,-270.3827543319677,AM
Mn29.347Fe18.672Co22.191Ni22.44Cu7.3504,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2934688261246955,0.1867192531229875,0.2219091123635505,0.2243991024035904,0.073503705985176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.597749609001564,1.7820213719145124,1662.2498056007778,-1336.9934451713634,1.926496294014824,8.597749609001564,1.542003731985072,57.46959323562706,0.1518456532497054,12.75711613138701,3.40315456220244,-2.196548757574795,11015.11817875374,-267.3986890342727,AM
Mn31.294Fe19.855Co18.947Ni22.753Cu7.1508,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3129406258812517,0.1985503971007942,0.1894703789407578,0.2275304550609101,0.071508143016286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.546115092230185,1.7750581501163003,1658.5262847525696,-1330.9537800119178,1.928491856983714,8.546115092230185,1.544275188550377,57.34533542867086,0.1542601664752396,12.680762946287729,3.437757614071045,-2.2944281069032493,10729.880338594245,-266.1907560023836,AM
Mn36.669Fe16.633Co17.821Ni21.105Cu7.7726,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3666877998732007,0.1663290020259878,0.1782089307464155,0.2110487337075977,0.0777255336467981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.466795199228805,1.7585625486247085,1641.8775556346664,-1321.8718855582229,1.922274466353202,8.466795199228805,1.547882812703124,57.26268712987723,0.1606925741548928,12.475055000052112,3.555967768877044,-2.459614286700014,9865.67574100347,-264.3743771116445,AM
Mn41.521Fe15.334Co16.296Ni19.293Cu7.5561,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4152095847904151,0.1533398466601533,0.1629598370401629,0.1929298070701929,0.0755609244390755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.360292639707358,1.742612957387042,1630.8318353181644,-1309.34636084047,1.924439075560924,8.360292639707358,1.5524252975747022,57.10329033270966,0.1640985530665362,12.14465254811731,3.587088158795081,-2.620030324176731,9438.456829051209,-261.869272168094,AM
Mn19.041Fe19.498Co23.516Ni28.288Cu9.6572,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1904096191807616,0.1949796100407799,0.2351595296809406,0.2828794342411315,0.0965718068563862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9002241995516,1.8178336643326711,1676.4878493243014,-1373.1664665865587,1.9034281931436137,8.9002241995516,1.5296896406207183,57.94820117559764,0.1328594124521987,12.952381149070582,3.260906909602928,-0.98832611901157,12180.71589847777,-274.63329331731177,FCC+AM
