Alloy,Phase
AlCoFeNiTi,BCC
Al0.3CrCuFeMnNi,BCC+FCC
Al0.5CrCuFeMnNi,BCC+FCC
Al0.8CrCuFeMnNi,BCC+FCC
Al0.8CrCuFeMn1.5Ni,BCC
Al0.8CrCuFe1.5MnNi,BCC+FCC
Al0.8CrCu1.5FeMnNi,BCC+FCC
AlCrCuFeMnNi,BCC
Al0.2CrCuFeNi,FCC
Al0.2CrCuFeNi2,FCC
Al0.4CrCuFeNi,FCC
Al0.4CrCuFeNi2,FCC
Al0.5CrCuFeNi,FCC
Al0.6CrCuFeNi2,FCC
Al0.7CrCuFeNi,FCC
Al0.8CrCuFeNi,BCC+FCC
Al0.8CrCuFeNi2,FCC
Al0.9CrCuFeNi,BCC+FCC+IM
AlCrCu0.5FeNi,BCC+IM
AlCrCuFeNi0.6,FCC+IM
AlCrCuFeNi0.8,FCC+IM
AlCrCuFeNi,FCC+IM
AlCrCuFeNi1.2,FCC+IM
AlCrCuFeNi1.4,FCC+IM
AlCrCuFeNi2,BCC+FCC
Al1.2CrCuFeNi,BCC+FCC+IM
Al1.2CrCuFeNi2,BCC+FCC
Al1.5CrCuFeNi,BCC+IM
Al1.8CrCuFeNi,BCC+IM
Al2.0CrCuFeNi,BCC+IM
Al2.2CrCuFeNi,BCC+IM
Al2.5CrCuFeNi,BCC+IM
AlCr0.5CuFeNiTi,FCC+IM
AlCr1.5CuFeNiTi,FCC+IM
AlCr2CuFeNiTi,FCC+IM
AlCr3CuFeNiTi,FCC+IM
Al0.3CrFe1.5MnNi0.5,BCC+FCC
Al0.3CrFe1.5MnNi0.6,BCC+FCC+IM
Al0.3CrFe1.5MnNi0.7,BCC+FCC+IM
Al0.3CrFe1.5MnNi0.8,BCC+FCC+IM
Al0.3CrFe1.5MnNi0.9,BCC+FCC
Al0.3CrFe1.5MnNi0.10,BCC+FCC+IM
Al0.5CrFe1.5MnNi0.5,BCC
Al0.5CrFe1.5MnNi0.6,BCC+IM
Al0.5CrFe1.5MnNi0.7,BCC+IM
Al0.5CrFe1.5MnNi0.8,BCC+IM
Al0.5CrFe1.5MnNi0.9,BCC
Al0.5CrFe1.5MnNi0.10,BCC+IM
Al0.8CrFe1.5MnNi0.5,BCC
Al0.8CrFe1.5MnNi0.6,BCC
Al1.2CrFe1.5MnNi0.5,BCC
Al1.2CrFe1.5MnNi0.6,BCC+IM
AlCrFeMo0.2Ni,BCC+IM
AlCrFeMo0.5Ni,BCC+IM
AlCrFeMo0.8Ni,IM
AlCrFeMoNi,IM
Al0.15CrFe1.5Ni0.5,BCC
Al0.2CrFe1.5Ni0.5,BCC
Al0.3CrFe1.5Ni0.5,IM
Al0.4CrFe1.5Ni0.5,IM
AlCrFeNi,BCC+IM
Al0.5CrFeNiTiV,IM
CoCrCuFeMn,FCC
CoCrCuFeMnNi,FCC
CoCrCuFeMnNiTiV,BCC+FCC+IM
CoCrCu0.5FeNi,FCC
CoCrCuFeNi,FCC
CoCrCuFeNiTi0.5,FCC
CoCrCuFeNiTi0.6,FCC
CoCrCuFeNiTi0.8,FCC+IM
CoCrCuFeNiTi,FCC+IM
CoCrFeGeMnNi,BCC+FCC
Co0.25Cr0.25FeMn,FCC
CoCrFeMnNbNi,FCC
Co0.5CrFeMn1.5Ni,FCC+IM
CoCr0.4Fe8Mn5.4Ni5.2,FCC
CoCr0.4Fe8Mn5.4Ni5.3,FCC
CoCr0.4Fe8Mn5.4Ni5.4,FCC
CoCr0.75FeMn0.75Ni,FCC
CoCrFe0.5Mn0.5Ni1.5,FCC
CoCrFeMnNi,FCC
CoCr1.25FeMn0.25Ni,FCC
CoCr1.3FeMnNi0.7,FCC
CoCr1.3FeMnNi0.8,FCC
CoCr1.3FeMnNi0.9,FCC+IM
CoCr1.3FeMnNi0.10,FCC+IM
Co1.4CrFeMnNi,FCC
Co1.5Cr0.5FeMn0.5Ni,FCC
CoCrFeMnNiTi,BCC+FCC
CoCrFeMnNiV0.25,FCC
CoCrFeMnNiV0.26,FCC+IM
CoCrFeMnNiV0.6,FCC+IM
CoCrFeMnNiV0.75,FCC+IM
CoCrFeMnNiV0.76,FCC+IM
CoCrFeMnNiV,FCC+IM
CoCrFeMo0.3Ni,FCC
CoCrFeMo0.5Ni,FCC+IM
CoCrFeMo0.85Ni,FCC+IM
Co1.5CrFeMo0.1Ni1.5Ti0.5,FCC
Co1.5CrFeMo0.5Ni1.5Ti0.5,FCC+IM
Co1.5CrFeMo0.8Ni1.5Ti0.5,FCC+IM
CoCrFeNb0.103Ni,FCC+IM
CoCrFeNb0.155Ni,FCC+IM
